0.480999, 0.0640249, 0.0673528
0.95493, 0.0370389, 0.0425623
1.42072, 0.0294343, 0.0351377
1.88939, 0.0248331, 0.0304782
2.35898, 0.0218687, 0.0274689
2.82432, 0.0195278, 0.0251016
3.29018, 0.0175283, 0.0230864
3.75434, 0.0159649, 0.0214973
4.2209, 0.0148039, 0.0203112
4.68859, 0.0139456, 0.0194496
5.15706, 0.0132836, 0.0188086
5.62131, 0.0127325, -1.01275e+269
6.09157, 0.0122558, 0.0178739
6.55713, 0.0118279, 0.0175003
7.02001, 0.0114428, 0.0171716
7.48545, 0.0110996, 0.016889
7.95049, 0.0107961, 0.0166488
8.41379, 0.0105273, 0.0164447
8.88012, 0.0102942, 0.0162812
9.34807, 0.0100885, 0.0161484
